id;tp;a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;dec
2;6;5.35;8.66;1.58;6.78;1.32;9.92;9.66;8.45;0.29;1.28;3.5;6.85;8.9;9.06;6.61;1
2;7;3.87;4.04;0.17;3.03;8.48;5.95;6.23;1.64;7.52;6.8;7.4;4.38;8.43;5.26;5.02;1
2;8;9.11;9.22;2.24;5.15;2.7;4.56;7.0;4.68;3.21;7.65;6.85;2.4;0.08;4.11;5.36;1
2;9;0.03;7.56;5.17;4.15;8.04;5.88;0.55;8.76;1.15;8.26;5.5;9.02;6.28;4.69;2.13;1
2;10;4.15;2.63;4.07;2.72;8.68;6.18;7.37;6.88;7.88;4.78;3.65;8.06;2.04;4.81;8.82;1
3;1;4.09;1.66;6.89;2.49;8.06;9.88;0.74;7.55;0.98;4.68;8.3;0.26;3.43;6.12;4.79;2
3;2;0.82;7.82;2.14;6.84;3.13;9.54;3.19;8.68;7.9;0.23;4.38;9.35;8.46;8.79;6.16;2
3;3;9.6;0.65;7.15;4.68;7.44;5.43;8.46;4.14;5.43;6.9;4.68;9.59;8.54;8.39;7.67;2
3;4;4.89;5.33;7.05;5.92;6.35;9.81;1.65;6.17;2.15;1.23;0.96;8.31;4.63;5.74;6.6;2
3;5;9.92;5.7;4.42;8.87;4.61;0.1;5.26;7.7;2.16;3.16;2.86;9.83;2.74;6.35;8.12;2
3;6;8.27;4.25;8.67;8.88;4.03;9.49;2.41;6.02;6.04;2.75;9.51;3.42;1.95;7.87;0.57;2
3;7;1.86;8.28;6.42;8.72;6.93;3.64;6.7;0.93;6.46;1.48;3.76;5.6;6.12;4.66;1.4;2
3;8;7.81;1.63;2.32;1.05;9.77;6.89;8.58;5.77;2.04;2.15;3.67;0.57;3.24;3.62;7.87;2
3;9;7.9;3.76;6.08;0.69;3.56;3.12;4.91;1.71;1.28;0.13;1.48;1.67;7.79;1.7;4.16;2
3;10;2.2;1.66;3.8;2.39;5.91;9.93;1.43;5.79;3.15;2.55;4.86;3.18;4.18;5.41;1.6;2
4;1;6.66;7.5;7.48;0.7;6.86;5.08;4.99;9.68;2.98;1.15;6.71;1.77;0.99;8.05;6.15;3
4;2;9.97;8.51;9.91;7.73;8.19;0.1;1.95;1.66;1.69;9.34;6.97;9.45;7.13;3.45;7.53;3
4;3;3.18;6.98;0.48;3.4;5.44;7.13;4.78;3.08;7.36;0.6;0.42;9.03;1.91;0.53;3.11;3
4;4;5.02;3.01;9.53;7.62;1.42;9.91;6.5;9.05;9.66;4.8;4.85;3.61;1.25;1.37;4.2;3
4;5;2.33;2.35;6.03;8.17;9.36;8.68;7.39;5.82;7.89;7.45;4.95;6.42;5.98;3.27;8.69;3
4;6;8.27;8.7;6.16;9.06;6.8;8.09;4.56;3.18;5.34;4.09;5.75;3.29;3.58;2.88;8.58;3
4;7;7.35;8.97;5.98;8.21;6.7;2.41;2.5;8.28;1.32;9.34;3.48;1.61;3.71;3.18;1.91;3
4;8;6.63;3.47;2.8;6.34;8.38;9.15;0.4;7.15;9.83;6.61;5.4;9.16;9.82;0.3;3.9;3
4;9;7.46;3.89;6.52;5.2;8.33;6.19;9.27;0.94;8.97;8.71;0.86;6.05;7.07;1.24;5.73;3
4;10;3.27;3.54;3.65;7.97;9.12;1.66;6.34;8.42;9.3;3.19;3.58;5.69;9.96;9.24;5.68;3
5;1;3.89;9.29;8.01;5.11;4.04;3.69;7.97;2.8;6.25;8.04;0.61;8.59;3.36;2.6;6.94;3
5;2;8.58;4.98;7.71;0.69;4.66;1.84;8.3;0.17;2.45;5.89;2.49;2.97;2.5;8.11;5.61;3
5;3;0.79;4.49;0.21;6.18;9.65;4.02;2.34;1.96;9.17;8.4;6.79;8.69;5.03;3.13;4.36;3
5;4;5.12;5.95;8.78;8.45;9.88;6.52;7.19;7.27;2.63;1.1;0.17;9.06;5.53;7.15;6.01;3
5;5;8.4;1.11;8.39;8.44;1.05;1.06;0.47;4.0;2.78;0.26;1.52;5.23;0.33;3.78;6.35;3
5;6;5.03;7.35;8.67;3.93;8.22;2.85;6.32;1.82;1.56;4.63;5.61;7.71;0.34;6.36;9.6;3
5;7;4.65;4.79;0.97;3.96;2.79;3.06;5.63;1.51;6.67;2.3;3.62;9.45;9.56;6.43;5.9;3
5;8;9.97;9.25;5.57;4.56;6.97;5.09;1.62;6.61;9.46;3.62;6.6;4.07;6.38;1.07;1.56;3
5;9;1.45;5.23;3.19;1.44;1.49;5.15;9.79;8.39;9.77;2.63;6.74;5.67;0.63;3.23;5.46;3
5;10;8.95;4.75;3.01;7.1;0.93;8.59;9.02;4.38;7.68;8.34;6.78;3.91;6.54;8.18;8.44;3
6;1;9.26;6.56;0.64;2.91;0.99;4.36;0.5;4.27;8.17;4.18;6.29;4.28;3.64;0.9;5.95;1
6;2;5.43;6.11;6.43;2.79;1.65;4.41;5.83;4.32;8.0;7.62;3.41;8.48;9.67;3.05;7.97;1
6;3;5.67;6.45;4.72;2.26;3.52;4.67;7.02;5.2;2.54;4.48;9.24;1.55;5.18;2.03;0.42;1
6;4;7.57;4.78;3.69;0.65;6.65;6.81;5.42;0.56;0.01;5.75;0.52;4.2;0.97;6.21;6.55;1
6;5;8.96;3.35;9.17;8.23;8.2;0.95;1.31;2.24;7.53;9.99;7.61;1.35;3.35;7.89;9.5;1
6;6;9.15;9.97;5.44;2.36;3.23;3.48;7.06;6.66;2.32;5.7;8.18;3.14;9.06;8.42;1.79;1
6;7;3.73;8.04;3.91;6.74;6.18;9.21;9.39;7.4;5.91;8.53;8.98;9.76;6.01;6.93;5.71;1
6;8;7.88;1.2;2.17;9.62;3.62;6.29;8.26;8.28;4.77;8.55;0.38;6.57;2.33;1.52;4.95;1
6;9;8.32;5.18;4.2;4.45;3.03;8.68;8.39;9.75;7.42;4.04;7.56;4.71;6.63;8.68;6.59;1
6;10;0.08;1.42;7.95;9.06;8.14;7.25;3.01;8.09;5.68;9.05;7.81;8.53;4.14;5.64;6.53;1
7;1;9.79;1.87;1.21;7.07;8.49;4.89;7.96;1.86;1.55;5.96;6.62;9.83;9.97;4.99;5.98;2
7;2;8.47;10.0;7.4;1.76;2.46;7.63;3.85;4.44;2.38;0.85;3.74;4.79;2.31;9.77;0.37;2
7;3;1.42;0.1;8.21;3.68;7.86;8.21;5.43;4.25;2.65;3.88;8.01;4.89;3.84;1.56;3.42;2
7;4;3.19;7.63;6.54;5.17;0.86;9.82;2.67;3.38;5.26;9.16;1.58;2.25;0.77;0.64;5.78;2
7;5;8.59;7.77;8.27;8.9;1.57;2.59;4.07;1.14;1.81;1.26;7.82;4.34;0.01;8.64;4.36;2
7;6;3.06;2.65;9.31;0.64;9.27;5.36;2.86;2.89;3.38;8.04;7.04;6.81;5.54;6.09;0.69;2
7;7;2.8;1.87;2.23;1.8;1.55;0.76;7.99;9.77;5.64;6.53;6.68;5.85;5.83;7.91;4.86;2
7;8;5.18;7.31;1.26;4.9;6.3;8.98;9.1;1.07;6.05;6.99;2.47;9.15;3.13;7.98;9.29;2
7;9;6.64;9.72;7.83;3.59;8.49;8.56;5.33;8.57;4.23;9.37;1.07;6.47;4.25;1.31;3.55;2
7;10;4.95;7.13;2.14;4.45;4.98;3.03;1.29;6.77;5.63;8.72;1.0;4.26;7.51;7.64;7.7;2
8;1;6.21;1.98;1.81;8.54;7.65;5.01;9.42;3.17;0.11;2.42;4.05;2.4;9.66;3.7;2.5;2
8;2;4.48;0.68;1.37;5.01;7.5;6.33;0.39;7.33;2.06;6.13;5.53;0.16;5.98;8.59;2.09;2
8;3;5.24;3.12;0.07;1.05;0.23;7.33;2.05;6.35;1.37;7.16;6.58;4.68;9.5;0.1;0.54;2
8;4;0.03;6.93;9.18;3.93;8.35;8.59;3.63;4.23;9.75;6.33;0.09;3.12;5.49;3.45;3.6;2
8;5;4.74;1.73;9.66;7.74;0.27;0.92;7.58;8.73;5.93;5.35;9.77;4.12;9.14;2.67;1.9;2
8;6;2.26;6.38;6.57;8.54;3.89;0.88;8.16;3.61;7.39;9.65;1.65;9.72;8.18;6.53;3.42;2
8;7;9.17;3.47;3.1;7.06;0.8;3.16;2.47;6.71;3.5;7.79;7.11;1.7;8.05;7.29;0.25;2
8;8;0.06;6.64;2.19;4.34;6.96;8.76;7.08;2.76;2.58;3.84;8.95;6.73;0.01;5.5;1.54;2
8;9;1.89;0.78;7.9;7.27;5.43;9.97;4.63;5.91;7.01;9.27;4.43;3.72;1.85;5.46;5.96;2
8;10;2.17;5.65;9.65;0.71;8.77;1.38;5.4;0.1;7.08;6.64;4.51;6.99;3.04;0.79;7.4;2
9;1;8.29;3.76;6.56;6.03;1.84;5.93;3.14;4.5;4.85;0.08;0.52;4.62;5.77;3.56;2.28;2
9;2;3.22;8.37;8.56;7.91;0.36;4.64;2.65;4.55;6.77;0.59;1.46;6.69;2.74;7.76;0.99;2
9;3;3.66;5.97;1.82;4.36;1.81;6.27;3.16;4.16;2.46;8.75;3.5;9.38;1.47;3.63;1.72;2
9;4;9.03;7.54;3.43;8.2;8.14;7.74;4.89;7.06;6.24;3.85;7.19;8.17;5.34;9.02;5.49;2
9;5;1.32;7.18;3.0;1.18;8.79;7.82;5.69;8.97;3.62;0.21;7.93;9.18;1.84;2.44;7.7;2
9;6;5.88;2.02;0.96;2.04;2.33;2.02;8.28;1.34;8.87;5.92;0.73;0.97;3.3;7.0;3.88;2
9;7;8.34;0.06;3.54;1.92;5.24;7.18;5.56;4.98;6.95;4.76;5.89;8.73;9.18;1.6;3.41;2
9;8;5.59;1.75;5.58;7.96;4.46;1.6;5.29;2.14;3.58;1.89;3.98;0.1;1.88;1.81;1.72;2
9;9;6.59;6.83;4.22;2.12;4.68;1.69;8.54;8.51;0.52;0.1;6.1;8.8;6.39;8.1;5.97;2
9;10;6.41;5.31;3.45;5.08;8.09;6.22;2.79;1.93;1.22;0.76;9.35;6.25;7.33;0.38;6.8;2
10;1;2.77;2.91;6.94;7.54;4.09;3.68;4.99;7.91;1.9;8.44;7.36;0.72;9.3;7.3;8.2;1
10;2;9.62;6.06;7.42;6.76;1.08;0.14;5.29;4.24;2.71;5.25;6.21;9.47;4.27;6.35;1.96;1
10;3;9.92;4.01;5.9;0.79;9.54;3.39;7.56;2.41;1.71;7.23;8.97;8.44;3.58;5.22;9.67;1
10;4;1.11;7.37;9.59;7.23;7.11;7.13;0.38;6.07;7.83;3.43;1.8;7.21;1.19;9.01;2.95;1
10;5;7.58;4.41;1.25;1.51;6.11;4.54;2.97;0.85;8.68;7.76;3.48;7.02;6.72;0.66;8.39;1
10;6;7.58;0.53;6.17;3.95;1.33;5.71;8.14;3.68;4.51;1.26;8.38;9.86;1.05;1.53;9.71;1
10;7;8.87;2.17;7.33;2.11;6.25;6.44;6.81;4.9;6.05;8.96;7.13;0.49;1.3;7.94;6.61;1
10;8;2.41;2.14;7.26;1.29;1.27;7.8;4.19;4.03;0.72;8.1;2.95;5.4;5.29;1.65;7.68;1
10;9;3.53;5.08;6.06;2.36;8.63;4.6;4.59;8.07;3.12;6.85;0.95;5.8;4.74;5.9;2.5;1
10;10;2.31;3.12;3.64;0.44;5.59;9.31;2.58;6.47;2.43;8.73;7.81;8.09;8.42;1.28;2.22;1
11;1;6.3;0.74;4.66;7.42;2.62;4.52;9.15;4.26;1.39;3.62;7.99;0.93;2.74;8.1;2.88;3
11;2;5.48;1.8;1.43;2.36;0.94;6.0;4.84;8.65;4.09;1.42;3.7;0.62;1.68;3.09;9.46;3
11;3;0.04;6.28;7.29;8.57;1.74;4.79;7.95;9.1;8.87;1.18;5.53;6.78;6.75;2.16;1.39;3
11;4;2.05;3.56;5.34;1.59;6.44;0.65;6.63;8.94;5.53;0.2;8.11;6.09;6.57;5.52;5.31;3
11;5;9.17;8.61;7.4;3.38;8.2;2.14;0.48;0.55;4.99;2.13;4.63;6.34;4.94;9.15;4.75;3
11;6;3.32;0.36;7.18;4.82;5.72;1.36;1.61;2.0;9.41;1.07;6.69;1.96;9.58;5.58;4.68;3
11;7;7.53;8.54;8.34;8.38;1.79;1.93;7.08;2.91;9.91;1.96;7.6;7.32;3.38;7.91;8.65;3
11;8;4.65;9.74;6.51;2.05;5.99;0.93;5.97;8.66;8.97;6.18;7.86;4.11;7.5;5.76;4.03;3
11;9;2.56;1.26;3.64;4.47;0.85;8.79;7.41;0.87;1.98;9.84;6.78;8.22;6.3;4.54;7.25;3
11;10;1.94;0.95;1.74;5.81;7.79;7.14;3.83;0.83;6.7;7.56;3.92;8.76;2.3;0.92;3.61;3
12;1;4.34;3.58;4.12;4.18;8.79;3.83;5.27;9.86;3.59;4.22;3.8;9.32;6.64;1.59;0.44;2
12;2;7.97;0.2;5.34;6.43;8.55;9.57;8.33;1.86;0.77;0.27;5.77;5.63;4.61;3.97;7.31;2
12;3;4.52;2.05;6.31;9.54;5.25;5.28;0.04;5.73;6.95;8.06;2.4;0.78;9.31;0.85;2.69;2
12;4;7.88;8.13;3.46;3.72;8.65;1.44;6.03;9.95;7.4;0.12;4.58;0.87;9.07;4.69;9.15;2
12;5;0.87;4.7;0.75;4.9;0.28;9.42;6.99;8.07;7.97;4.28;3.38;6.72;2.81;8.05;7.87;2
12;6;1.0;1.94;2.52;6.98;6.28;0.23;7.22;5.18;1.25;6.79;5.39;4.44;2.35;7.67;0.9;2
12;7;9.05;7.46;8.46;5.81;6.47;3.88;2.66;3.25;4.55;3.17;6.95;1.22;5.29;4.97;2.12;2
12;8;9.89;7.06;9.1;9.93;7.36;9.38;6.16;0.75;1.2;1.91;7.43;1.35;7.94;3.14;2.71;2
12;9;8.7;3.42;9.68;8.62;0.52;1.37;5.49;5.5;6.26;6.08;6.07;9.15;0.68;2.21;1.36;2
12;10;3.35;2.6;5.74;7.93;7.59;7.16;2.5;1.98;9.45;2.03;7.83;8.84;2.67;7.25;5.58;2
13;1;9.46;7.32;0.46;9.5;1.35;8.78;2.38;6.78;6.54;3.0;7.78;2.63;1.99;4.51;3.26;2
13;2;2.92;5.84;5.25;3.94;1.88;8.59;4.79;3.92;0.45;1.85;4.16;0.72;1.51;4.82;6.89;2
13;3;7.51;3.57;8.07;2.8;7.33;7.03;7.08;2.78;3.05;3.45;2.09;5.16;9.08;4.71;0.65;2
13;4;1.1;9.97;0.91;5.52;4.65;9.01;7.0;2.99;0.58;6.27;9.25;7.69;7.77;1.9;4.03;2
13;5;4.7;0.78;5.79;3.53;9.0;9.12;7.2;2.01;8.04;8.13;4.64;4.66;1.51;9.73;4.93;2
13;6;3.09;4.12;1.31;7.29;8.17;9.24;3.05;5.84;8.42;8.91;8.27;1.17;3.44;5.84;8.88;2
13;7;4.76;1.25;0.29;5.93;2.79;5.98;0.48;5.64;4.01;5.88;4.69;3.97;4.59;2.58;7.73;2
13;8;3.78;5.85;3.39;5.44;2.18;1.3;8.41;4.99;8.48;8.58;6.07;4.27;2.46;1.89;3.46;2
13;9;8.02;7.47;7.49;5.88;8.48;7.94;2.83;7.06;6.34;7.82;5.73;0.98;5.56;2.53;2.86;2
13;10;6.84;8.31;1.31;1.3;0.94;3.96;3.79;1.99;7.53;9.75;4.41;1.68;1.79;1.38;2.94;2
14;1;4.88;4.58;1.83;0.28;3.88;7.36;2.97;9.44;8.72;6.33;9.23;1.7;5.62;9.83;9.23;1
14;2;9.23;4.82;0.1;1.88;3.05;8.45;2.64;1.22;4.97;0.14;3.2;1.61;9.58;0.27;2.46;1
14;3;3.55;2.32;6.08;8.09;9.89;2.11;3.98;6.74;4.54;4.34;2.57;5.34;0.0;5.22;0.25;1
14;4;8.13;6.12;0.68;5.53;2.92;8.23;3.4;5.7;7.2;8.67;8.71;9.99;7.26;8.63;3.85;1
14;5;3.81;5.87;4.0;9.25;0.38;5.48;6.05;3.47;7.69;7.38;0.13;1.82;5.65;2.99;1.46;1
14;6;4.23;4.41;0.32;6.25;6.99;7.96;7.29;3.86;3.06;3.2;2.88;4.24;9.89;5.48;4.1;1
14;7;7.58;1.11;7.36;7.49;4.97;0.5;6.91;2.88;4.72;8.08;8.69;8.95;0.49;4.4;6.26;1
14;8;0.58;8.36;5.66;2.49;2.22;4.82;1.01;2.61;2.75;0.93;0.45;6.09;6.85;9.93;6.84;1
14;9;2.99;8.38;7.42;0.26;7.38;2.02;5.89;3.25;3.91;0.28;7.18;1.63;2.91;7.57;9.46;1
14;10;4.22;3.5;3.77;1.78;3.42;9.38;5.06;8.87;3.86;9.45;4.12;8.42;7.62;3.44;5.4;1
15;1;5.97;7.19;0.61;5.06;6.05;1.05;5.91;3.33;9.88;8.1;8.65;9.48;7.6;0.68;1.77;3
15;2;8.64;4.82;9.99;8.13;8.44;4.96;3.44;6.91;5.96;7.46;9.3;6.51;6.27;1.05;6.29;3
15;3;4.52;5.58;5.51;4.46;0.98;1.19;0.1;6.77;5.75;1.54;5.81;0.09;4.7;3.85;3.03;3
15;4;2.53;9.96;7.17;1.3;4.16;3.58;9.76;0.08;5.6;6.16;8.84;1.87;7.63;4.58;2.9;3
15;5;7.26;6.53;5.64;3.75;3.73;6.23;9.41;3.87;7.09;3.29;8.83;4.85;5.22;4.95;4.14;3
15;6;6.63;5.69;8.08;4.3;7.24;6.3;7.85;2.08;1.9;2.79;8.78;9.48;1.59;2.49;6.31;3
15;7;9.93;4.55;0.95;8.63;1.0;6.76;3.33;1.41;9.49;3.67;7.74;9.84;3.93;3.44;4.33;3
15;8;5.16;0.89;2.62;3.54;5.09;0.44;1.53;7.81;6.1;4.83;7.61;0.47;8.25;6.52;6.01;3
15;9;2.17;6.6;3.22;8.59;7.53;4.41;9.28;9.58;0.12;0.33;2.83;2.61;5.27;1.86;8.84;3
15;10;2.74;4.15;6.72;1.76;4.2;2.41;0.0;0.68;8.38;8.5;7.35;4.39;8.44;0.43;9.86;3
16;1;3.34;6.93;8.27;5.76;8.29;3.56;7.54;5.27;4.68;2.41;9.71;2.08;4.06;4.72;4.45;1
16;2;0.16;5.22;2.21;6.93;5.62;0.03;9.54;3.84;9.17;4.53;5.5;5.68;6.47;3.5;1.01;1
16;3;5.75;9.12;2.33;4.27;9.37;8.93;9.78;4.58;0.51;7.59;6.4;4.81;3.27;5.04;7.58;1
16;4;3.51;1.76;8.62;5.49;6.21;7.94;2.63;2.92;1.23;7.64;2.61;3.7;9.28;0.03;2.52;1
16;5;1.18;1.67;1.85;0.72;2.44;5.67;9.33;4.85;1.23;5.37;4.76;7.8;5.85;1.01;9.07;1
16;6;8.62;5.86;2.1;4.86;1.5;1.17;6.95;1.86;8.37;1.1;7.64;7.89;6.82;3.56;0.84;1
16;7;7.0;5.72;9.47;6.99;9.87;3.5;8.53;2.99;3.46;7.59;4.89;4.32;0.47;3.59;8.18;1
16;8;6.34;6.95;6.18;7.28;0.2;8.02;8.51;7.32;4.15;6.36;4.63;7.23;7.87;7.4;5.11;1
16;9;7.63;6.9;1.23;1.23;0.18;5.63;7.9;7.96;2.31;0.27;3.75;7.27;2.15;0.5;8.73;1
16;10;5.88;1.41;1.24;7.0;5.22;6.5;9.88;9.52;5.29;8.83;6.49;0.08;8.51;9.21;5.09;1
17;1;0.9;5.86;6.34;9.64;4.62;0.46;8.29;8.53;7.1;5.23;7.01;8.78;7.12;3.06;5.99;3
17;2;9.92;7.39;3.6;9.64;8.0;8.24;7.3;6.48;0.26;5.33;2.14;9.58;9.49;0.27;2.43;3
17;3;5.4;4.56;8.77;8.21;1.21;1.67;3.13;9.54;0.2;2.21;5.93;3.55;7.17;4.88;8.26;3
17;4;7.01;2.53;2.95;3.93;6.39;3.31;7.42;8.6;0.24;4.61;2.4;4.4;2.63;6.73;7.35;3
17;5;3.0;2.89;4.83;4.56;7.14;1.92;8.59;8.44;8.93;0.78;9.15;7.3;3.7;2.9;4.15;3
17;6;5.86;8.2;7.22;3.66;2.74;1.04;3.18;3.01;0.37;0.74;8.16;0.86;7.99;4.03;7.98;3
17;7;5.11;2.8;8.48;9.11;7.36;0.05;5.0;3.44;3.61;6.89;5.69;9.28;4.69;5.11;2.07;3
17;8;1.2;2.13;3.72;9.66;5.7;0.14;4.83;7.46;8.49;1.73;7.37;4.34;3.69;6.03;9.15;3
17;9;0.95;2.74;1.26;4.86;8.49;8.14;0.95;7.63;2.94;3.39;4.03;2.09;3.64;2.7;9.75;3
17;10;1.27;3.53;4.2;1.55;8.65;4.21;2.75;4.47;3.83;1.07;3.19;3.06;7.57;6.91;5.03;3
18;1;0.1;8.59;2.32;7.47;1.6;4.54;3.66;2.53;8.0;8.76;2.2;3.16;8.22;5.48;9.82;2
18;2;4.74;8.56;0.69;8.02;8.01;7.43;8.38;0.99;8.45;1.98;7.8;6.4;4.96;0.49;4.76;2
18;3;7.31;6.98;9.53;2.95;8.22;1.44;4.75;2.47;4.44;3.68;5.2;5.84;5.71;5.97;2.39;2
18;4;6.9;1.25;4.25;7.3;2.78;5.16;1.63;8.57;7.55;8.96;9.47;9.78;8.93;1.97;2.34;2
18;5;7.41;6.02;0.92;2.4;4.26;6.13;4.76;5.01;8.02;8.0;9.34;6.21;6.09;2.66;3.06;2
18;6;7.68;3.04;3.21;7.74;8.14;7.91;6.7;8.56;8.49;2.59;0.28;0.73;7.95;1.1;5.31;2
18;7;5.08;4.87;8.02;8.29;3.0;1.32;5.31;8.74;1.85;1.45;7.01;0.87;1.08;2.68;4.74;2
18;8;5.83;6.26;9.49;7.34;7.13;4.5;5.93;2.43;2.03;3.27;2.82;3.66;8.6;9.07;0.16;2
18;9;6.75;4.25;5.58;0.81;8.83;4.01;5.73;2.22;0.67;7.58;0.68;7.68;6.76;8.54;2.36;2
18;10;8.21;2.01;5.03;3.89;5.56;6.27;5.03;8.01;7.77;9.7;8.07;0.26;9.03;6.22;3.25;2
19;1;9.62;1.65;1.72;0.64;4.6;1.37;2.36;5.61;0.66;8.28;9.16;0.72;9.8;9.45;5.16;1
19;2;2.41;7.2;1.88;5.6;2.54;7.15;7.73;5.72;0.82;9.4;4.21;5.46;3.87;0.84;5.49;1
19;3;1.73;4.29;0.73;2.55;9.45;5.65;8.39;6.92;6.15;2.68;5.88;3.29;2.11;9.61;9.18;1
19;4;8.09;1.35;8.43;4.29;9.84;5.28;2.69;5.04;8.91;5.09;0.63;7.03;9.58;4.24;7.92;1
19;5;3.66;3.35;9.19;1.81;6.4;0.75;6.05;7.75;0.49;8.83;3.81;0.87;7.23;7.49;3.36;1
19;6;4.41;1.25;9.26;6.76;0.19;7.54;2.32;0.86;0.54;8.02;8.3;2.61;8.87;3.34;6.44;1
19;7;2.67;0.63;2.88;6.75;1.17;0.17;6.61;6.36;9.72;2.23;7.58;5.47;8.68;3.42;0.78;1
19;8;4.75;5.07;0.84;0.43;3.84;9.37;4.85;2.22;0.58;2.32;9.68;8.38;8.05;4.58;5.95;1
19;9;9.08;1.52;5.33;2.25;6.5;6.55;9.73;7.34;0.37;2.67;3.86;3.42;1.2;2.48;8.42;1
19;10;1.69;4.46;9.65;8.38;1.98;1.99;1.46;3.41;0.41;2.31;6.3;6.12;7.68;1.32;7.74;1
20;1;7.79;8.42;6.24;0.06;2.21;3.14;8.93;6.99;0.07;0.78;9.89;8.52;0.32;3.69;3.15;1
20;2;8.01;1.32;6.9;4.37;4.0;4.32;8.99;1.26;1.53;3.09;1.0;6.59;0.85;4.62;1.1;1
20;3;0.68;0.59;8.56;9.71;4.86;7.71;9.5;2.32;5.35;1.75;4.93;7.07;4.07;4.67;1.68;1
20;4;1.96;4.49;9.3;0.95;9.46;0.14;1.68;0.05;4.92;7.72;0.4;5.44;3.85;3.52;6.45;1
20;5;3.97;8.35;7.63;5.09;5.85;8.5;3.53;8.85;5.19;5.92;0.91;4.2;1.18;4.6;5.62;1
20;6;6.97;9.84;1.01;6.2;6.23;3.31;9.82;0.51;6.9;3.24;8.67;8.12;8.49;7.78;7.38;1
20;7;3.76;9.0;3.7;3.18;9.18;6.32;7.54;9.67;6.14;4.32;3.87;3.56;9.57;1.2;2.15;1
20;8;4.69;5.84;3.56;2.49;7.45;8.12;2.3;3.3;3.24;5.22;0.88;1.87;0.6;0.1;4.16;1
20;9;2.89;5.49;8.53;7.48;5.71;6.39;1.97;5.82;3.23;6.35;0.05;6.18;7.32;4.56;3.48;1
20;10;7.21;7.87;3.64;9.19;7.26;6.56;3.92;3.22;5.46;0.53;5.48;7.74;4.67;5.11;8.05;1
21;1;2.48;9.49;2.68;0.63;1.36;5.81;6.24;2.82;2.09;4.21;4.1;3.76;4.89;4.59;9.6;1
21;2;7.87;6.58;7.58;8.74;9.41;3.1;1.55;8.71;4.91;6.83;9.33;2.08;3.79;7.38;9.64;1
21;3;0.31;0.39;4.52;8.97;0.62;5.05;0.65;8.16;9.19;8.73;1.7;2.99;2.37;2.46;5.04;1
21;4;2.8;0.38;9.35;7.06;5.0;1.08;6.76;3.97;5.08;8.36;7.96;6.17;4.59;8.5;5.52;1
21;5;6.97;9.14;4.39;4.06;5.35;0.78;6.23;6.33;5.22;9.61;2.02;3.45;8.62;7.13;4.59;1
21;6;1.62;0.98;1.32;9.33;7.95;5.88;1.28;8.49;8.91;8.91;8.18;6.42;8.14;1.12;7.88;1
21;7;5.86;9.74;2.55;9.24;6.96;4.69;2.25;5.62;8.24;6.59;8.89;7.25;1.82;9.58;2.9;1
21;8;0.47;1.73;0.12;4.77;4.25;0.02;9.46;3.58;1.44;4.15;5.83;6.72;5.93;6.94;5.92;1
21;9;7.25;7.95;5.23;7.66;6.37;1.92;7.03;4.94;9.67;7.7;7.65;8.56;2.03;1.55;0.75;1
21;10;2.26;7.48;2.47;6.74;1.1;7.21;3.03;3.39;0.53;1.47;0.02;2.56;9.88;6.44;3.25;1
