id;tp;a;b;c;d;e;f;dec
8;16;0.72;11.119;15.744;38.365;15.061;51.388;3
8;17;6.166;18.627;12.868;39.037;48.916;52.617;3
8;18;7.832;10.364;19.135;24.723;49.659;16.307;3
8;19;6.799;10.616;9.382;30.853;27.173;6.918;3
8;20;8.106;18.482;9.304;38.181;10.04;3.131;3
9;1;2.471;5.222;29.774;25.854;40.391;46.086;3
9;2;8.272;9.669;7.207;30.47;19.579;49.645;3
9;3;3.534;4.78;2.551;32.262;13.242;8.998;3
9;4;7.755;15.986;25.618;17.141;18.803;34.941;3
9;5;3.917;14.845;4.903;17.253;6.289;4.343;3
9;6;7.546;11.911;20.494;17.914;21.841;9.046;3
9;7;6.318;10.898;26.032;9.595;34.55;13.944;3
9;8;8.032;0.135;17.888;39.233;12.913;42.193;3
9;9;6.485;13.722;27.918;39.485;27.288;13.062;3
9;10;7.264;12.836;12.801;20.353;38.551;45.687;3
9;11;2.015;14.641;11.729;23.849;9.319;15.045;3
9;12;2.398;9.515;3.073;3.25;43.792;39.648;3
9;13;1.586;1.904;24.066;13.663;19.345;58.744;3
9;14;3.999;18.252;17.571;38.721;8.888;24.765;3
9;15;0.319;19.956;25.524;11.49;11.01;31.954;3
9;16;6.796;3.752;5.747;2.255;42.328;22.468;3
9;17;9.434;4.256;16.464;32.998;23.36;59.995;3
9;18;6.479;12.443;23.795;12.123;45.968;24.798;3
9;19;3.012;5.515;15.8;22.953;49.353;5.233;3
9;20;5.264;6.132;8.749;16.121;14.274;17.742;3
10;1;9.849;8.888;25.534;7.781;34.472;5.137;1
10;2;9.851;9.053;15.425;5.722;33.065;27.372;1
10;3;6.603;18.411;16.444;7.128;45.35;18.012;1
10;4;4.852;19.775;13.557;26.034;11.529;24.888;1
10;5;7.148;12.033;20.807;13.064;5.647;49.28;1
10;6;9.303;1.905;22.598;39.505;22.72;36.245;1
10;7;4.343;5.455;19.147;24.026;20.182;2.573;1
10;8;0.139;15.932;29.762;29.153;26.665;16.188;1
10;9;5.828;19.485;3.259;3.536;2.784;47.626;1
10;10;4.613;1.085;27.271;3.412;35.718;12.378;1
10;11;7.373;17.516;22.661;25.042;15.552;3.718;1
10;12;8.326;9.001;24.973;27.869;17.968;41.576;1
10;13;4.602;16.01;12.877;38.18;24.922;36.09;1
10;14;4.016;0.942;20.357;18.921;10.095;16.157;1
10;15;3.404;7.134;12.476;16.877;6.409;52.08;1
10;16;5.328;7.911;1.507;14.085;17.595;47.317;1
10;17;3.369;12.119;12.232;29.029;3.05;47.908;1
10;18;1.498;8.329;28.319;2.705;38.946;37.264;1
10;19;2.482;13.963;25.79;3.932;40.044;57.52;1
10;20;2.437;3.806;4.284;2.954;9.275;34.644;1
11;1;0.368;8.506;9.326;7.24;0.94;9.761;1
11;2;0.563;9.325;28.052;26.628;2.326;4.291;1
11;3;6.158;16.861;29.142;1.183;49.741;3.203;1
11;4;5.863;12.841;19.578;3.831;47.1;42.756;1
11;5;7.074;17.299;26.531;25.431;0.557;25.158;1
11;6;8.484;9.542;2.405;34.445;33.755;10.206;1
11;7;0.837;7.837;26.001;15.246;28.002;1.285;1
11;8;4.447;7.117;27.947;13.562;38.575;13.131;1
11;9;7.592;16.721;26.806;23.437;39.642;8.394;1
11;10;1.124;17.356;5.979;0.112;1.135;5.68;1
11;11;4.781;13.753;0.903;35.999;12.674;36.09;1
11;12;8.034;19.333;25.964;8.869;40.143;35.426;1
11;13;7.852;13.231;8.945;23.826;20.969;51.612;1
11;14;6.412;9.974;7.2;14.782;14.877;43.233;1
11;15;4.626;12.221;18.064;2.958;34.929;37.687;1
11;16;4.513;8.68;13.806;10.757;8.542;46.873;1
11;17;8.702;17.203;10.882;7.69;41.729;44.406;1
11;18;6.825;3.322;17.443;23.278;29.245;13.03;1
11;19;2.511;10.169;26.414;12.054;43.357;31.944;1
11;20;9.076;18.959;5.042;4.943;18.742;51.968;1
12;1;4.186;15.261;2.825;38.966;16.121;17.044;3
12;2;1.478;12.28;19.926;38.008;34.326;44.125;3
12;3;3.947;9.034;16.157;26.078;34.177;42.012;3
12;4;6.114;15.369;9.447;38.754;21.52;59.944;3
12;5;0.048;16.113;6.526;31.171;0.814;40.439;3
12;6;1.622;8.694;6.637;2.778;26.625;56.706;3
12;7;8.765;12.926;14.341;5.711;6.367;45.626;3
12;8;2.42;14.56;6.394;9.191;3.356;1.0;3
12;9;9.768;7.219;19.767;6.967;43.543;7.938;3
12;10;7.827;16.514;27.586;4.881;2.838;21.886;3
12;11;0.466;10.53;10.62;6.507;38.833;11.174;3
12;12;3.629;18.928;11.314;2.276;25.81;2.569;3
12;13;5.814;10.115;4.353;24.677;5.471;52.581;3
12;14;9.883;11.925;17.916;17.762;48.926;53.845;3
12;15;1.372;0.63;17.463;16.393;44.758;21.42;3
12;16;9.83;9.699;22.513;24.616;49.546;29.984;3
12;17;1.718;4.249;10.31;15.091;28.605;25.508;3
12;18;7.324;7.069;4.231;14.741;28.085;5.644;3
12;19;1.524;9.616;9.717;17.744;28.264;5.308;3
12;20;5.542;18.182;27.327;8.025;42.014;20.706;3
13;1;2.445;9.696;7.278;23.0;3.575;28.227;1
13;2;0.61;5.712;5.588;23.884;29.708;27.249;1
13;3;3.205;2.664;10.455;34.352;38.901;5.081;1
13;4;1.43;19.333;16.951;16.075;48.34;4.054;1
13;5;6.774;5.0;20.498;19.426;46.918;34.914;1
13;6;2.265;9.391;27.321;29.992;29.763;30.639;1
13;7;5.135;19.685;15.652;1.852;47.818;32.497;1
13;8;2.665;5.022;13.583;12.828;30.282;56.837;1
13;9;6.761;12.804;28.366;10.623;44.192;32.848;1
13;10;9.773;2.495;11.299;4.287;9.568;39.742;1
13;11;8.588;7.012;4.34;7.175;7.387;36.37;1
13;12;4.496;12.956;17.458;27.093;42.577;19.645;1
13;13;5.938;4.78;3.286;39.927;43.094;27.267;1
13;14;0.315;1.933;7.976;5.352;6.41;23.756;1
13;15;1.15;9.081;23.458;30.188;2.641;13.964;1
13;16;2.829;10.093;27.832;23.707;26.133;26.944;1
13;17;3.272;0.395;25.671;3.297;29.767;7.466;1
13;18;5.645;18.512;28.503;15.339;38.253;13.602;1
13;19;8.903;19.436;29.174;31.538;29.908;45.017;1
13;20;2.454;14.099;19.25;23.692;27.909;54.051;1
14;1;2.022;18.552;17.481;19.817;17.321;12.426;1
14;2;6.046;14.272;19.678;9.493;5.07;40.744;1
14;3;4.525;18.768;27.481;36.433;14.551;7.983;1
14;4;4.294;7.642;9.656;0.384;5.797;11.7;1
14;5;5.662;18.219;28.657;10.964;34.846;48.703;1
14;6;5.763;11.528;0.527;9.312;49.339;50.178;1
14;7;7.063;11.288;6.999;20.069;28.388;44.903;1
14;8;9.418;1.717;21.341;14.342;28.359;11.667;1
14;9;0.721;3.087;23.058;20.569;37.127;53.862;1
14;10;9.163;6.622;1.734;31.796;47.857;0.632;1
14;11;0.565;1.246;7.928;23.768;0.99;14.787;1
14;12;6.258;4.275;16.105;9.287;39.541;16.807;1
14;13;4.81;12.421;5.784;38.193;28.421;42.618;1
14;14;6.337;10.502;20.771;9.088;9.595;33.794;1
14;15;3.091;2.953;13.029;19.198;21.435;17.728;1
14;16;5.812;1.807;28.387;8.894;46.382;53.34;1
14;17;3.615;10.892;12.593;18.536;2.93;43.959;1
14;18;3.567;5.882;19.067;2.277;26.353;13.335;1
14;19;7.224;4.646;25.262;7.08;15.236;15.405;1
14;20;0.928;1.56;4.813;3.282;4.201;5.837;1
15;1;7.968;8.455;21.538;2.186;40.728;11.623;3
15;2;5.482;15.088;11.159;12.737;37.296;35.06;3
15;3;1.73;17.547;26.325;26.022;45.423;2.571;3
15;4;2.5;6.298;6.084;37.107;17.013;45.373;3
15;5;3.887;13.278;18.061;18.462;24.956;44.889;3
15;6;4.156;12.569;21.055;27.617;24.38;6.692;3
15;7;8.417;19.324;16.03;16.77;25.985;18.566;3
15;8;3.527;13.527;19.339;5.73;42.727;42.323;3
15;9;8.667;11.618;9.079;39.77;30.182;8.275;3
15;10;3.775;5.39;26.683;9.637;40.796;54.476;3
15;11;1.416;3.295;23.951;32.748;21.993;44.745;3
15;12;6.744;16.099;3.329;0.826;38.023;28.062;3
15;13;9.453;9.965;13.975;26.058;15.329;16.798;3
15;14;7.268;15.71;0.259;30.674;23.748;0.142;3
15;15;0.982;7.74;26.674;38.08;20.53;46.463;3
15;16;9.995;2.565;27.577;0.267;14.779;12.05;3
15;17;8.192;16.109;1.49;2.513;0.891;38.588;3
15;18;3.933;15.996;0.161;12.98;10.161;57.043;3
15;19;2.148;12.721;13.463;22.936;4.751;8.341;3
15;20;8.1;14.09;25.092;7.288;26.731;3.308;3
16;1;7.752;0.918;15.643;13.045;14.39;43.226;1
16;2;0.585;14.484;4.917;18.708;35.703;1.522;1
16;3;4.655;15.546;13.359;35.96;18.68;18.961;1
16;4;1.12;7.449;22.559;1.236;47.034;50.275;1
16;5;8.567;1.246;29.523;37.25;46.039;47.253;1
16;6;3.469;18.41;18.142;35.67;45.627;30.707;1
16;7;6.561;18.485;6.431;12.631;25.457;59.109;1
16;8;8.946;15.164;7.51;19.619;27.081;23.252;1
16;9;4.921;7.11;23.511;30.87;32.605;49.915;1
16;10;1.397;11.027;24.936;28.111;5.333;27.998;1
16;11;9.471;12.243;25.136;13.546;25.713;11.015;1
16;12;1.415;1.963;25.531;24.906;45.568;20.941;1
16;13;8.479;8.115;13.244;22.749;29.515;19.717;1
16;14;2.138;9.601;1.758;23.996;45.161;9.692;1
16;15;5.724;11.352;7.67;10.751;38.096;55.686;1
16;16;0.745;0.739;7.104;28.763;3.576;51.142;1
16;17;4.79;15.246;29.485;13.443;15.294;55.139;1
16;18;8.848;5.006;1.438;34.28;8.192;38.962;1
16;19;0.493;10.111;25.431;16.257;40.652;27.228;1
16;20;1.426;14.739;25.449;3.738;38.881;45.422;1
17;1;1.265;13.393;2.054;29.562;16.206;51.087;3
17;2;6.54;0.918;14.996;14.235;7.378;46.406;3
17;3;4.003;17.059;15.585;14.558;10.829;25.302;3
17;4;2.493;14.993;23.343;39.28;39.581;52.405;3
17;5;9.408;15.19;25.974;26.631;11.569;5.859;3
17;6;5.763;18.466;20.436;39.015;39.138;28.922;3
17;7;9.82;4.213;22.583;38.465;4.932;42.707;3
17;8;3.471;5.613;8.809;18.737;10.707;28.517;3
17;9;3.718;7.588;0.062;15.61;36.166;9.64;3
17;10;8.397;1.548;16.549;2.11;16.181;41.232;3
17;11;4.708;11.003;14.052;9.897;45.139;53.81;3
17;12;2.146;0.488;7.47;22.402;9.963;37.07;3
17;13;3.795;8.265;16.259;12.413;6.064;47.888;3
17;14;8.929;1.485;7.792;11.486;31.848;49.369;3
17;15;9.659;3.482;1.893;9.523;21.903;59.323;3
17;16;4.825;10.847;21.219;17.653;31.434;27.122;3
17;17;4.484;5.558;10.014;39.209;9.481;17.79;3
17;18;2.337;12.954;5.775;32.212;4.484;30.594;3
17;19;4.826;19.901;2.305;17.725;47.832;23.948;3
17;20;1.372;6.587;0.13;25.364;33.91;49.198;3
18;1;9.7;7.767;20.994;31.477;37.716;37.887;1
18;2;9.418;18.171;16.0;35.192;20.606;24.915;1
18;3;1.59;17.479;28.773;6.739;4.782;22.935;1
18;4;3.507;16.281;15.408;18.195;1.863;18.76;1
18;5;3.879;8.883;5.697;20.036;30.188;19.794;1
18;6;6.239;13.711;29.903;38.916;25.766;48.748;1
18;7;5.532;5.406;27.043;30.308;26.677;36.196;1
18;8;2.806;7.665;22.378;17.598;42.764;23.433;1
18;9;4.627;8.641;9.313;8.173;15.668;53.016;1
18;10;7.589;12.159;17.399;37.596;17.78;10.873;1
18;11;3.984;13.697;10.094;0.003;12.371;50.227;1
18;12;5.478;7.476;19.024;37.466;9.375;11.906;1
18;13;1.563;4.194;28.864;21.071;46.315;39.598;1
18;14;1.272;19.335;3.629;5.316;39.223;21.71;1
18;15;1.867;14.954;11.833;10.935;48.958;48.004;1
18;16;1.154;9.267;20.117;31.452;43.883;19.645;1
18;17;1.986;7.164;8.418;11.49;1.875;25.113;1
18;18;7.104;6.337;11.929;33.781;44.405;42.668;1
18;19;6.008;10.29;25.298;20.66;10.328;30.629;1
18;20;6.998;7.737;22.708;9.631;9.588;36.788;1
19;1;7.863;19.208;20.809;2.769;2.992;15.572;1
19;2;1.124;5.614;12.109;6.801;15.932;52.052;1
19;3;3.949;8.487;29.764;39.029;29.291;31.755;1
19;4;6.966;3.599;18.452;24.095;1.793;3.61;1
19;5;9.244;14.448;5.593;31.196;13.249;3.961;1
19;6;6.547;10.439;24.657;21.26;6.755;45.973;1
19;7;8.317;3.124;2.115;36.192;6.541;27.677;1
19;8;0.317;16.533;18.052;5.391;15.013;43.141;1
19;9;6.792;8.335;5.97;0.092;38.181;29.791;1
19;10;7.666;11.998;16.631;31.431;29.149;5.063;1
19;11;9.857;1.784;29.175;13.445;22.367;3.958;1
19;12;0.471;0.452;9.61;37.732;0.447;58.534;1
19;13;1.575;4.019;20.918;13.016;33.703;31.922;1
19;14;1.063;7.752;28.647;36.919;37.731;18.566;1
19;15;9.978;15.256;26.557;18.638;45.423;26.928;1
19;16;5.502;8.015;1.882;34.939;14.274;30.138;1
19;17;6.688;17.667;2.424;25.341;1.936;36.622;1
19;18;3.499;5.545;29.788;31.739;11.31;12.15;1
19;19;8.983;7.294;14.416;22.044;49.195;18.876;1
19;20;5.942;12.834;26.524;0.493;18.517;40.868;1
20;1;9.805;14.184;5.553;33.671;8.088;54.108;1
20;2;0.725;3.648;4.866;32.846;18.862;20.119;1
20;3;2.511;1.624;14.233;14.361;11.702;26.869;1
20;4;1.035;12.524;1.873;32.155;41.382;6.575;1
20;5;0.686;9.054;9.612;13.707;47.768;42.441;1
20;6;2.917;1.86;5.116;7.16;23.652;53.025;1
20;7;4.667;14.706;24.545;30.538;23.562;9.662;1
20;8;9.467;16.734;10.041;39.899;10.662;24.334;1
20;9;8.717;6.5;9.651;31.998;5.427;12.943;1
20;10;3.194;7.664;13.095;20.898;24.913;27.362;1
20;11;8.794;0.272;0.232;3.393;7.399;58.051;1
20;12;6.859;1.357;1.271;21.151;6.948;30.239;1
20;13;6.798;9.664;6.36;39.549;19.266;14.84;1
20;14;5.41;7.255;23.746;24.426;25.307;53.911;1
20;15;6.955;0.473;20.583;32.057;39.116;42.357;1
20;16;2.075;5.153;13.712;15.624;17.894;20.219;1
20;17;0.906;7.198;11.349;34.367;13.438;24.295;1
20;18;0.261;12.966;13.053;4.672;24.19;44.978;1
20;19;2.018;11.356;26.326;27.224;43.784;34.552;1
20;20;9.232;19.025;6.793;26.633;31.136;45.921;1
21;1;4.473;11.963;22.781;19.217;31.9;29.797;2
21;2;7.108;16.061;22.182;8.339;40.574;56.27;2
21;3;6.345;17.619;16.608;28.489;46.463;10.844;2
21;4;5.952;7.267;13.381;16.344;15.769;40.92;2
21;5;4.981;4.473;28.003;9.496;38.913;42.132;2
21;6;1.436;9.926;12.331;15.899;42.111;6.86;2
21;7;4.685;19.364;7.013;6.317;27.553;12.342;2
21;8;6.445;9.507;21.974;13.203;19.682;4.441;2
21;9;6.196;16.653;4.748;35.069;29.019;49.1;2
21;10;6.193;8.036;29.406;20.471;40.166;21.211;2
21;11;5.292;9.686;2.639;6.515;13.096;11.747;2
21;12;2.191;19.555;8.047;22.808;16.047;19.314;2
21;13;7.081;4.816;2.497;0.432;35.38;29.292;2
21;14;5.539;13.823;23.335;9.137;0.224;56.538;2
21;15;3.694;13.697;5.131;0.849;45.411;9.561;2
21;16;4.191;13.654;4.253;21.913;1.945;26.801;2
21;17;9.639;16.311;21.15;13.622;36.736;15.502;2
21;18;7.848;3.646;11.797;34.875;13.533;2.243;2
21;19;5.98;7.373;3.194;3.411;5.654;48.77;2
21;20;2.444;18.406;1.996;9.236;46.249;59.351;2
22;1;9.387;4.561;8.364;13.144;16.904;48.578;3
22;2;4.366;7.653;3.193;23.605;48.553;5.46;3
22;3;0.754;19.005;21.293;30.665;5.588;37.893;3
22;4;2.607;3.208;9.918;27.573;3.137;20.542;3
22;5;0.044;13.915;10.131;21.2;43.906;26.567;3
22;6;0.807;11.712;9.003;28.779;39.173;30.736;3
22;7;7.36;5.807;1.221;30.895;13.263;33.9;3
22;8;6.7;13.65;1.264;32.981;17.129;3.801;3
22;9;9.055;14.54;1.597;31.828;44.118;21.898;3
22;10;1.449;12.937;22.358;39.391;34.863;39.376;3
22;11;1.524;10.848;28.802;1.616;15.24;51.706;3
22;12;4.619;2.839;4.416;31.039;48.463;57.464;3
22;13;1.37;18.192;3.812;17.909;31.043;55.345;3
22;14;6.735;1.937;19.959;27.493;3.538;44.934;3
22;15;7.626;2.848;1.458;24.923;4.208;59.456;3
22;16;2.302;2.184;0.611;27.665;45.919;21.596;3
22;17;6.026;5.244;24.972;22.718;36.039;4.018;3
22;18;0.416;15.876;23.079;25.274;24.271;32.63;3
22;19;2.366;2.089;5.208;18.451;4.645;56.331;3
22;20;7.112;14.451;9.442;29.158;31.477;28.37;3
23;1;3.461;11.791;27.639;19.449;43.211;22.072;2
23;2;7.318;7.536;5.038;23.115;33.813;39.947;2
23;3;5.982;19.46;27.619;23.965;3.603;27.872;2
23;4;1.726;12.098;0.674;15.198;36.693;37.708;2
23;5;0.443;0.201;7.509;20.552;2.177;54.386;2
23;6;0.857;7.942;22.858;21.759;42.568;22.357;2
23;7;5.786;14.81;25.331;11.184;49.074;1.502;2
23;8;9.306;16.113;11.837;22.895;5.025;6.308;2
23;9;9.661;16.731;7.397;22.191;38.231;56.571;2
23;10;9.389;14.25;17.459;2.558;38.257;45.451;2
23;11;4.697;4.319;11.936;1.266;26.89;38.641;2
23;12;4.622;7.555;18.325;35.835;22.56;59.167;2
23;13;3.413;2.913;24.121;36.385;42.375;54.753;2
23;14;9.631;10.573;13.308;30.425;21.08;43.992;2
23;15;7.452;4.169;12.669;19.771;15.132;13.121;2
23;16;9.73;8.457;1.19;13.779;36.862;8.345;2
23;17;5.418;2.474;17.437;24.827;8.763;56.606;2
23;18;3.479;11.033;0.517;36.652;11.469;33.744;2
23;19;6.979;1.64;23.632;31.114;9.367;0.825;2
23;20;5.304;15.671;19.932;22.276;49.753;58.172;2
24;1;9.809;6.046;28.48;23.75;38.399;45.478;1
24;2;2.63;3.604;21.825;7.207;18.319;29.111;1
24;3;1.178;17.996;21.34;23.235;8.092;52.455;1
24;4;7.475;11.507;1.637;11.499;18.882;0.756;1
24;5;8.315;4.498;16.506;15.971;39.563;41.957;1
